更新时间,#genre#
2024-11-25 11:55:22,url
央视频道,#genre#
CCTV-1综合,http://42.48.50.232:9002/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV-1综合,http://183.94.146.109:2222/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-1综合,http://60.164.128.167:8029/rtp/239.255.30.101:8231$组播源|1920x1080
CCTV-1综合,http://139.196.151.191:6846/rtp/239.45.3.145:5140$组播源
CCTV-1综合,http://112.123.206.32:808/hls/1/index.m3u8$订阅源|1920x1080
CCTV-1综合,http://www.lnlee.top:10000/udp/239.81.0.102:4056$订阅源|1920x1080
CCTV-2财经,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-2财经,http://42.48.50.232:9002/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源|1920x1080
CCTV-2财经,http://139.196.151.191:6846/rtp/239.45.1.109:5140$组播源
CCTV-2财经,http://123.56.129.203:4310/rtp/225.1.8.2:8084$组播源
CCTV-2财经,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8$订阅源
CCTV-2财经,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-3综艺,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3综艺,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-3综艺,http://139.196.151.191:6846/rtp/239.45.1.68:5140$组播源
CCTV-3综艺,http://139.196.151.191:2051/rtp/239.45.1.68:5140$组播源
CCTV-3综艺,http://58.20.77.182:9901/tsfile/live/0003_1.m3u8?key=txiptv$订阅源
CCTV-3综艺,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$订阅源
CCTV-4中文国际,http://220.249.114.102:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-4中文国际,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-4中文国际,http://123.56.129.203:4310/rtp/225.1.8.4:8092$组播源
CCTV-4中文国际,http://123.56.129.203:2604/rtp/225.1.8.104:8216$组播源
CCTV-4中文国际,http://211.72.65.236:8569/.m3u8$订阅源|1920x1080
CCTV-4中文国际,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源|1920x1080
CCTV-5体育,http://220.249.114.102:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5体育,http://183.94.146.109:2222/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5体育,http://xeace.cn:8888/rtp/239.93.42.37:5140$组播源|1920x1080
CCTV-5体育,http://139.196.151.191:6846/rtp/239.45.1.69:5140$组播源
CCTV-5体育,http://nas.hssvm.com:8888/udp/225.1.1.170:5002$订阅源|1920x1080
CCTV-5体育,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5+体育赛事,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-5+体育赛事,http://183.94.146.109:2222/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-5+体育赛事,http://122.9.151.210:2224/rtp/238.255.2.185:5999$组播源
CCTV-5+体育赛事,http://60.164.128.167:8029/rtp/239.255.30.184:8231$组播源|1920x1080
CCTV-5+体育赛事,http://111.160.17.2:59901/tsfile/live/0001_6.m3u8$订阅源
CCTV-5+体育赛事,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV-6电影,http://183.94.146.109:2222/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-6电影,http://220.249.114.102:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-6电影,http://123.56.129.203:4310/rtp/225.1.8.90:8000$组播源
CCTV-6电影,http://139.196.151.191:2051/rtp/239.45.1.70:5140$组播源
CCTV-6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202$订阅源|1920x1080
CCTV-6电影,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-7国防军事,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-7国防军事,http://220.249.114.102:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-7国防军事,http://123.56.129.203:4310/rtp/225.1.8.107:8024$组播源
CCTV-7国防军事,http://123.56.129.203:4310/rtp/225.1.8.7:8104$组播源
CCTV-7国防军事,http://27.41.245.129:9003//hls/10/index.m3u8$订阅源
CCTV-7国防军事,http://124.128.73.58:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-8电视剧,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-8电视剧,http://220.249.114.102:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-8电视剧,http://123.56.129.203:2604/rtp/225.1.8.85:8000$组播源
CCTV-8电视剧,http://123.56.129.203:4310/rtp/225.1.8.91:8000$组播源
CCTV-8电视剧,http://111.9.163.109:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8电视剧,http://123.138.22.30:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-9纪录,http://220.249.114.102:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
CCTV-9纪录,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV-9纪录,http://123.56.129.203:2604/rtp/225.1.8.9:8112$组播源
CCTV-9纪录,http://139.196.151.191:2051/rtp/239.45.3.4:5140$组播源
